-,JMP,-,SWAB,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,JSR,JSR,JSR,JSR,JSR,JSR,JSR,JSR,CLR,COM,INC,DEC,NEG,ADC,SBC,TST,ROR,ROL,ASR,ASL,MARK,MFPI,MTPI,SXT,-,-,-,-,-,-,-,-
MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV
CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP,CMP
BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT,BIT
BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC,BIC
BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS,BIS
ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD,ADD
MUL,MUL,MUL,MUL,MUL,MUL,MUL,MUL,DIV,DIV,DIV,DIV,DIV,DIV,DIV,DIV,ASH,ASH,ASH,ASH,ASH,ASH,ASH,ASH,ASHC,ASHC,ASHC,ASHC,ASHC,ASHC,ASHC,ASHC,XOR,XOR,XOR,XOR,XOR,XOR,XOR,XOR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SOB,SOB,SOB,SOB
BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,EMT,EMT,EMT,EMT,TRAP,TRAP,TRAP,TRAP,CLRB,COMB,INCB,DECB,NEGB,ADCB,SBCB,TSTB,RORB,ROLB,ASRB,ASLB,-,MFPD,MTPD,-,-,-,-,-,-,-,-,-
MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB,MOVB
