"NOP
NOP","IMM_TO_PAIR
LXI BC,????","ACC_TO_MEM
STAX B","INC_WORD
INX B","INC_REG
INR B","DEC_REG
DCR B","IMM_TO_REG
MVI B,??","ALU_SHIFT
RLC","NOP
NOP","ADD_WORD
DAD B","MEM_TO_ACC
LDAX B","DEC_WORD
DCX B","INC_REG
INR C","DEC_REG
DCR C","IMM_TO_REG
MVI C,??","ALU_SHIFT
RRC"
"NOP
NOP","IMM_TO_PAIR
LXI DE,????","ACC_TO_MEM
STAX D","INC_WORD
INX D","INC_REG
INR D","DEC_REG
DCR D","IMM_TO_REG
MVI D,??","ALU_SHIFT
RAL","NOP
NOP","ADD_WORD
DAD D","MEM_TO_ACC
LDAX D","DEC_WORD
DCX D","INC_REG
INR E","DEC_REG
DCR E","IMM_TO_REG
MVI E,??","ALU_SHIFT
RAR"
"NOP
NOP","IMM_TO_PAIR
LXI HL,????","HL_TO_ABS
SHLD ????","INC_WORD
INX H","INC_REG
INR H","DEC_REG
DCR H","IMM_TO_REG
MVI H,??","DAA
DAA","NOP
NOP","ADD_WORD
DAD H","ABS_TO_HL
LHLD ????","DEC_WORD
DCX H","INC_REG
INR L","DEC_REG
DCR L","IMM_TO_REG
MVI L,??","CPL
CMA"
"NOP
NOP","IMM_TO_PAIR
LXI SP,????","ACC_TO_ABS
STA ????","INC_WORD
INX SP","INC_MEM
INR M","DEC_MEM
DCR M","IMM_TO_MEM
MVI M,??","SCF
STC","NOP
NOP","ADD_WORD
DAD SP","ABS_TO_ACC
LDA ????","DEC_WORD
DCX SP","INC_REG
INR A","DEC_REG
DCR A","IMM_TO_REG
MVI A,??","CCF
CMC"
"REG_TO_REG
MOV B,B","REG_TO_REG
MOV B,C","REG_TO_REG
MOV B,D","REG_TO_REG
MOV B,E","REG_TO_REG
MOV B,H","REG_TO_REG
MOV B,L","MEM_TO_REG
MOV B,M","REG_TO_REG
MOV B,A","REG_TO_REG
MOV C,B","REG_TO_REG
MOV C,C","REG_TO_REG
MOV C,D","REG_TO_REG
MOV C,E","REG_TO_REG
MOV C,H","REG_TO_REG
MOV C,L","MEM_TO_REG
MOV C,M","REG_TO_REG
MOV C,A"
"REG_TO_REG
MOV D,B","REG_TO_REG
MOV D,C","REG_TO_REG
MOV D,D","REG_TO_REG
MOV D,E","REG_TO_REG
MOV D,H","REG_TO_REG
MOV D,L","MEM_TO_REG
MOV D,M","REG_TO_REG
MOV D,A","REG_TO_REG
MOV E,B","REG_TO_REG
MOV E,C","REG_TO_REG
MOV E,D","REG_TO_REG
MOV E,E","REG_TO_REG
MOV E,H","REG_TO_REG
MOV E,L","MEM_TO_REG
MOV E,M","REG_TO_REG
MOV E,A"
"REG_TO_REG
MOV H,B","REG_TO_REG
MOV H,C","REG_TO_REG
MOV H,D","REG_TO_REG
MOV H,E","REG_TO_REG
MOV H,H","REG_TO_REG
MOV H,L","MEM_TO_REG
MOV H,M","REG_TO_REG
MOV H,A","REG_TO_REG
MOV L,B","REG_TO_REG
MOV L,C","REG_TO_REG
MOV L,D","REG_TO_REG
MOV L,E","REG_TO_REG
MOV L,H","REG_TO_REG
MOV L,L","MEM_TO_REG
MOV L,M","REG_TO_REG
MOV L,A"
"REG_TO_MEM
MOV M,B","REG_TO_MEM
MOV M,C","REG_TO_MEM
MOV M,D","REG_TO_MEM
MOV M,E","REG_TO_MEM
MOV M,H","REG_TO_MEM
MOV M,L","HALT
HLT","REG_TO_MEM
MOV M,A","REG_TO_REG
MOV A,B","REG_TO_REG
MOV A,C","REG_TO_REG
MOV A,D","REG_TO_REG
MOV A,E","REG_TO_REG
MOV A,H","REG_TO_REG
MOV A,L","MEM_TO_REG
MOV A,M","REG_TO_REG
MOV A,A"
"ALU_REG
ADD B","ALU_REG
ADD C","ALU_REG
ADD D","ALU_REG
ADD E","ALU_REG
ADD H","ALU_REG
ADD L","ALU_MEM
ADD M","ALU_REG
ADD A","ALU_REG
ADC B","ALU_REG
ADC C","ALU_REG
ADC D","ALU_REG
ADC E","ALU_REG
ADC H","ALU_REG
ADC L","ALU_MEM
ADC M","ALU_REG
ADC A"
"ALU_REG
SUB B","ALU_REG
SUB C","ALU_REG
SUB D","ALU_REG
SUB E","ALU_REG
SUB H","ALU_REG
SUB L","ALU_MEM
SUB M","ALU_REG
SUB A","ALU_REG
SBB A,B","ALU_REG
SBB A,C","ALU_REG
SBB A,D","ALU_REG
SBB A,E","ALU_REG
SBB A,H","ALU_REG
SBB A,L","ALU_MEM
SBB A,M","ALU_REG
SBB A,A"
"ALU_REG
ANA B","ALU_REG
ANA C","ALU_REG
ANA D","ALU_REG
ANA E","ALU_REG
ANA H","ALU_REG
ANA L","ALU_MEM
ANA M","ALU_REG
ANA A","ALU_REG
XRA B","ALU_REG
XRA C","ALU_REG
XRA D","ALU_REG
XRA E","ALU_REG
XRA H","ALU_REG
XOR L","ALU_MEM
XOR M","ALU_REG
XOR A"
"ALU_REG
ORAA B","ALU_REG
ORAA C","ALU_REG
ORA D","ALU_REG
ORA E","ALU_REG
ORA H","ALU_REG
ORA L","ALU_MEM
ORA M","ALU_REG
ORA A","CMP_REG
CMP B","CMP_REG
CMP C","CMP_REG
CMP D","CMP_REG
CMP E","CMP_REG
CMP H","CMP_REG
CP L","CMP_MEM
CP M","CMP_REG
CP A"
"RET_CN
RNZ","POP
POP B","JMP_CN
JP NZ,????","JMP
JMP ????","CALL_CN
CNZ ????","PUSH
PUSH B","ALU_IMM
ADI ??","RST
RST 0x00","RET_CN
RZ","RET
RET","JMP_CN
JZ ????","JMP
JMP ????","CALL_CN
CZ ????","CALL
CALL ????","ALU_IMM
ACI ??","RST
RST 0x08"
"RET_CN
RNC","POP
POP D","JMP_CN
JP NC,????","OUTPUT
OUT (??),A","CALL_CN
CNC ????","PUSH
PUSH D","ALU_IMM
SUI ??","RST
RST 0x10","RET_CN
RC","RET
RET","JMP_CN
JC ????","INPUT
IN ??","CALL_CN
CC ????","CALL
CALL ????","ALU_IMM
SBI ??","RST
RST 0x18"
"RET_CN
RPO","POP
POP H","JMP_CN
JP PO,????","SWAP_XTHL
XTHL","CALL_CN
CPO ????","PUSH
PUSH H","ALU_IMM
ANI ??","RST
RST 0x20","RET_CN
RPE","JMP_HL
PCHL","JMP_CN
JPE ????","SWAP_XCHG
XCHG","CALL_CN
CPE ????","CALL
CALL ????","ALU_IMM
XRI ??","RST
RST 0x28"
"RET_CN
RP","POP
POP PSW","JMP_CN
JP P,????","INT_OFF
DI","CALL_CN
CP ????","PUSH
PUSH PSW","ALU_IMM
ORI ??","RST
RST 0x30","RET_CN
RM","HL_TO_SP
SPHL","JMP_CN
JM ????","INT_ON
EI","CALL_CN
CM ????","CALL
CALL ????","CMP_IMM
CPI ??","RST
RST 0x38"
